205608788,2,"[45126952, 205608788]"
46260004,12,"[38486081, 38910884, 46260004, 39906994, 39589524, 23070360, 21541433, 41553595, 5795772, 40398813, 40508766, 38551775]"
51696668,3,"[51699987, 51696668, 51697309]"
640092,3,"[5532337, 640092, 42731838]"
215144887,3,"[209662738, 209163732, 215144887]"
5124034,4,"[582201, 5124034, 28034615, 31497439]"
6476710,9,"[35227171, 6476710, 32097135, 21006192, 43689750, 39674999, 34048249, 33254714, 5305115]"
198173339,4,"[198177568, 198178559, 198173339, 198175519]"
205608788,2,"[45126952, 205608788]"
46260004,12,"[38486081, 38910884, 46260004, 39906994, 39589524, 23070360, 21541433, 41553595, 5795772, 40398813, 40508766, 38551775]"
51696668,3,"[51699987, 51696668, 51697309]"
640092,3,"[5532337, 640092, 42731838]"
215144887,3,"[209662738, 209163732, 215144887]"
5124034,4,"[582201, 5124034, 28034615, 31497439]"
6476710,9,"[35227171, 6476710, 32097135, 21006192, 43689750, 39674999, 34048249, 33254714, 5305115]"
205608788,2,"[45126952, 205608788]"
46260004,12,"[38486081, 38910884, 46260004, 39906994, 39589524, 23070360, 21541433, 41553595, 5795772, 40398813, 40508766, 38551775]"
51696668,3,"[51699987, 51696668, 51697309]"
640092,3,"[5532337, 640092, 42731838]"
215144887,3,"[209662738, 209163732, 215144887]"
5124034,4,"[582201, 5124034, 28034615, 31497439]"
6476710,9,"[35227171, 6476710, 32097135, 21006192, 43689750, 39674999, 34048249, 33254714, 5305115]"
198173339,4,"[198177568, 198178559, 198173339, 198175519]"
205608788,2,"[45126952, 205608788]"
46260004,12,"[38486081, 38910884, 46260004, 39906994, 39589524, 23070360, 21541433, 41553595, 5795772, 40398813, 40508766, 38551775]"
51696668,3,"[51699987, 51696668, 51697309]"
640092,3,"[5532337, 640092, 42731838]"
215144887,3,"[209662738, 209163732, 215144887]"
205608788,2,"[45126952, 205608788]"
46260004,12,"[38486081, 38910884, 46260004, 39906994, 39589524, 23070360, 21541433, 41553595, 5795772, 40398813, 40508766, 38551775]"
51696668,3,"[51699987, 51696668, 51697309]"
640092,3,"[5532337, 640092, 42731838]"
215144887,3,"[209662738, 209163732, 215144887]"
205608788,2,"[45126952, 205608788]"
46260004,12,"[38486081, 38910884, 46260004, 39906994, 39589524, 23070360, 21541433, 41553595, 5795772, 40398813, 40508766, 38551775]"
205608788,2,"[45126952, 205608788]"
46260004,12,"[38486081, 38910884, 46260004, 39906994, 39589524, 23070360, 21541433, 41553595, 5795772, 40398813, 40508766, 38551775]"
205608788,2,"[45126952, 205608788]"
46260004,12,"[38486081, 38910884, 46260004, 39906994, 39589524, 23070360, 21541433, 41553595, 5795772, 40398813, 40508766, 38551775]"
51696668,3,"[51699987, 51696668, 51697309]"
205608788,2,"[45126952, 205608788]"
46260004,12,"[38486081, 38910884, 46260004, 39906994, 39589524, 23070360, 21541433, 41553595, 5795772, 40398813, 40508766, 38551775]"
51696668,3,"[51699987, 51696668, 51697309]"
640092,3,"[5532337, 640092, 42731838]"
215144887,3,"[209662738, 209163732, 215144887]"
5124034,4,"[582201, 5124034, 28034615, 31497439]"
6476710,9,"[35227171, 6476710, 32097135, 21006192, 43689750, 39674999, 34048249, 33254714, 5305115]"
198173339,4,"[198177568, 198178559, 198173339, 198175519]"
189918042,4,"[189918736, 189918033, 189918042, 189917717]"
205608788,2,"[45126952, 205608788]"
46260004,12,"[38486081, 38910884, 46260004, 39906994, 39589524, 23070360, 21541433, 41553595, 5795772, 40398813, 40508766, 38551775]"
51696668,3,"[51699987, 51696668, 51697309]"
640092,3,"[5532337, 640092, 42731838]"
215144887,3,"[209662738, 209163732, 215144887]"
5124034,4,"[582201, 5124034, 28034615, 31497439]"
6476710,9,"[35227171, 6476710, 32097135, 21006192, 43689750, 39674999, 34048249, 33254714, 5305115]"
198173339,4,"[198177568, 198178559, 198173339, 198175519]"
189918042,4,"[189918736, 189918033, 189918042, 189917717]"
42804380,5,"[206139751, 31772107, 42804380, 19908210, 2648988]"
140021023,2,"[59373652, 140021023]"
85416606,4,"[19986329, 86078514, 38547786, 85416606]"
51934546,8,"[53231137, 52311715, 53108068, 53945931, 52013456, 53178353, 51934546, 51887645]"
189855331,10,"[189855331, 189855110, 198205226, 189901549, 189901678, 189854134, 189880855, 189918650, 189919357, 198202079]"
181513855,4,"[83549274, 181537675, 182659406, 181513855]"
146964794,5,"[146827274, 147557676, 147114995, 147572116, 146964794]"
